"4FGL J0011.8-3142","  2.9547","-31.7154","   5.024","1.1227E-10","1.2626E-12","PowerLaw","  1.9739","  1.8498","  0.1401","bcu","SUMSS J001141-314220","NULL","NULL"
"4FGL J0013.1-3955","  3.2802","-39.9272","  16.906","4.4867E-10","4.9848E-12","PowerLaw","  2.0501","  1.9809","  0.0745","bll","PKS 0010-401","NULL","LSP"
"4FGL J0013.6+4051","  3.4014"," 40.8563","   6.132","1.8075E-10","2.0804E-12","PowerLaw","  2.2115","  2.2122"," -0.0018","agn","4C +40.01","2.555000E-01","LSP"
"4FGL J0013.6-0424","  3.4208"," -4.4017","   5.050","1.7402E-10","2.2131E-12","PowerLaw","  2.3587","  2.3506"," -0.0890","fsrq","PKS 0011-046","1.075000E+00","LSP"
"4FGL J0013.9-1854","  3.4804","-18.9118","  11.509","2.7928E-10","3.1480E-12","PowerLaw","  1.9661","  1.8764","  0.0823","bll","RBS 0030","9.484600E-02","HSP"
"4FGL J0014.1+1910","  3.5368"," 19.1713","   6.230","1.9382E-10","2.2960E-12","PowerLaw","  2.2642","  2.0710","  0.3499","bll","MG3 J001356+1910","4.770000E-01","LSP"
"4FGL J0014.1-5022","  3.5479","-50.3703","  10.177","2.5761E-10","2.8836E-12","PowerLaw","  1.9925","  1.8677","  0.1357","bll","RBS 0032","1.000000E-02","HSP"
"4FGL J0014.2+0854","  3.5695","  8.9114","   4.535","1.8242E-10","2.6803E-12","PowerLaw","  2.4980","  2.5394"," -0.0477","bll","MS 0011.7+0837","1.630000E-01","NULL"
"4FGL J0014.3-0500","  3.5864"," -5.0120","  10.861","4.0482E-10","5.0893E-12","PowerLaw","  2.3453","  2.3299","  0.0230","bcu","GALEXASC J001420.46-045929.1","7.910000E-01","LSP"
"4FGL J0014.9+3212","  3.7268"," 32.2162","   9.800","2.2361E-10","4.0295E-12","LogParabola","  2.6769","  2.4288","  0.3146","bcu","3C 6","NULL","LSP"
"4FGL J0015.2+3537","  3.8247"," 35.6172","   5.400","1.3006E-10","1.4448E-12","PowerLaw","  2.0664","  2.1145"," -0.0568","bll","RX J0015.4+3536","5.700000E-01","ISP"
"4FGL J0015.9+2440","  3.9917"," 24.6805","   8.170","2.1650E-10","2.4443E-12","PowerLaw","  2.1628","  2.2233"," -0.0491","bcu","GB6 J0016+2440","NULL","NULL"
"4FGL J0016.2-0016","  4.0610"," -0.2806","  20.641","4.7540E-10","9.9499E-12","LogParabola","  2.7265","  2.5850","  0.1865","fsrq","S3 0013-00","1.576310E+00","LSP"
"4FGL J0016.5+1702","  4.1396"," 17.0389","   5.731","1.7645E-10","3.0842E-12","PowerLaw","  2.6309","  2.3539","  0.4482","fsrq","GB6 J0015+1700","1.709000E+00","NULL"
"4FGL J0017.0-0649","  4.2635"," -6.8317","  10.720","3.3935E-10","4.4513E-12","PowerLaw","  2.3925","  2.3705","  0.0364","bcu","PMN J0017-0650","NULL","LSP"
"4FGL J0017.5-0514","  4.3949"," -5.2347","  23.148","8.6843E-10","1.2202E-11","LogParabola","  2.5346","  2.5545","  0.1107","FSRQ","PMN J0017-0512","2.270000E-01","LSP"
"4FGL J0017.8+1455","  4.4711"," 14.9228","   7.462","2.4500E-10","2.7818E-12","PowerLaw","  2.1792","  2.0409","  0.2039","bll","GB6 J0017+1450","3.027120E-01","ISP"
"4FGL J0018.4+2946","  4.6151"," 29.7792","  12.004","2.6124E-10","3.4871E-12","PowerLaw","  1.7145","  1.5532","  0.1361","bll","RBS 0042","1.000000E-01","NULL"
"4FGL J0019.2-5640","  4.8106","-56.6826","   8.954","2.0287E-10","2.4053E-12","PowerLaw","  2.2656","  2.2494","  0.0242","bcu","PMN J0019-5641","NULL","LSP"
"4FGL J0019.3-8152","  4.8327","-81.8798","  15.828","5.3106E-10","5.9144E-12","PowerLaw","  2.1022","  2.0818","  0.0187","bll","PMN J0019-8152","NULL","ISP"
"4FGL J0019.6+7327","  4.9031"," 73.4560","  21.934","1.2713E-09","2.1117E-11","PowerLaw","  2.5942","  2.5855","  0.0798","fsrq","S5 0016+73","1.781000E+00","LSP"
"4FGL J0019.6+2022","  4.9070"," 20.3755","   9.601","2.7843E-10","3.1333E-12","PowerLaw","  2.1520","  2.1250","  0.1502","bll","PKS 0017+200","NULL","LSP"
"4FGL J0021.0+0322","  5.2565","  3.3783","   7.100","1.6828E-10","1.9852E-12","PowerLaw","  1.8668","  1.7216","  0.1320","bcu","2MASS J00205023+0323578","NULL","NULL"
"4FGL J0021.5-2552","  5.3912","-25.8681","  21.204","6.2927E-10","7.0061E-12","PowerLaw","  2.0998","  2.0664","  0.0389","bll","CRATES J002132.55-255049.3","NULL","ISP"
"4FGL J0021.6-0855","  5.4115"," -8.9174","   4.743","1.4713E-10","1.8575E-12","PowerLaw","  2.3503","  2.1162","  0.2469","bll","NVSS J002142-090044","6.480000E-01","NULL"
"4FGL J0021.9-5140","  5.4985","-51.6728","  22.872","6.2123E-10","6.9045E-12","PowerLaw","  2.0428","  2.0047","  0.0368","bll","1RXS J002159.2-514028","2.500000E-01","ISP"
"4FGL J0022.0+0006","  5.5154","  0.1134","   7.358","1.0654E-10","1.9089E-12","PowerLaw","  1.4715","  1.5060"," -0.0621","bll","RX J0022.0+0006","3.060000E-01","HSP"
"4FGL J0022.1-1854","  5.5353","-18.9068","  25.478","8.3289E-10","9.4907E-12","PowerLaw","  1.9354","  1.8248","  0.0971","bll","1RXS J002209.2-185333","NULL","LSP"
"4FGL J0022.5+0608","  5.6376","  6.1343","  41.948","1.9010E-09","2.1513E-11","PowerLaw","  2.1698","  2.1405","  0.0326","bll","PKS 0019+058","NULL","LSP"
"4FGL J0023.7-6820","  5.9347","-68.3381","  12.623","2.3410E-10","5.0131E-12","PowerLaw","  2.7653","  2.7320","  0.1193","bcu","PKS 0021-686","NULL","LSP"
"4FGL J0023.7+4457","  5.9477"," 44.9510","  13.386","4.2339E-10","5.8396E-12","PowerLaw","  2.4420","  2.3874","  0.0991","fsrq","B3 0020+446","1.062000E+00","NULL"
"4FGL J0023.9+1603","  5.9819"," 16.0639","   8.424","2.6625E-10","2.9575E-12","PowerLaw","  2.0656","  1.8498","  0.2677","bll","87GB 002122.5+154553","NULL","LSP"
"4FGL J0024.4+4647","  6.1212"," 46.7970","   6.092","1.8131E-10","2.8765E-12","PowerLaw","  2.5597","  2.5829"," -0.0471","bcu","B3 0021+464","NULL","NULL"
"4FGL J0024.7+0349","  6.1975","  3.8321","   6.054","1.8455E-10","2.4122E-12","PowerLaw","  2.3887","  2.3422","  0.1026","fsrq","GB6 J0024+0349","5.450000E-01","NULL"
"4FGL J0025.2-2231","  6.3034","-22.5328","   4.551","1.1160E-10","1.4756E-12","PowerLaw","  2.4007","  2.4036"," -0.0184","fsrq","PMN J0025-2228","8.340000E-01","LSP"
"4FGL J0025.7-4801","  6.4351","-48.0191","  12.891","3.6496E-10","4.1907E-12","PowerLaw","  2.2064","  1.8866","  0.2166","bcu","SUMSS J002545-480356","NULL","LSP"
"4FGL J0026.6-4600","  6.6521","-46.0156","   9.678","2.1540E-10","2.4288E-12","PowerLaw","  1.9650","  2.0061"," -0.0272","bll","1RXS J002636.3-460101","NULL","NULL"
"4FGL J0028.1+7505","  7.0444"," 75.0962","   7.899","3.4543E-10","1.8919E-12","LogParabola","  2.1871","  1.9022","  0.4436","bcu","GB6 J0028+7506","NULL","LSP"
"4FGL J0028.4+2001","  7.1222"," 20.0311","  13.548","4.5310E-10","6.2081E-12","PowerLaw","  2.4358","  2.4111","  0.0541","fsrq","TXS 0025+197","1.553000E+00","LSP"
"4FGL J0028.9+3553","  7.2251"," 35.8904","   6.227","2.0737E-10","2.4493E-12","PowerLaw","  2.2594","  2.2719"," -0.0097","bcu","GB6 J0028+3550","NULL","LSP"
"4FGL J0029.0-7044","  7.2509","-70.7414","  18.739","5.6327E-10","6.5222E-12","PowerLaw","  2.2238","  2.1827","  0.0471","bll","PKS 0026-710","NULL","LSP"
"4FGL J0029.4+2051","  7.3665"," 20.8662","   5.458","6.7164E-11","1.1069E-12","PowerLaw","  1.5339","  1.1433","  0.5267","bcu","NVSS J002928+205332","NULL","HSP"
"4FGL J0030.2-1647","  7.5643","-16.7975","  13.651","3.1286E-10","4.0727E-12","PowerLaw","  1.7404","  1.5923","  0.1455","bll","2MASS J00302045-1647130","2.370000E-01","HSP"
"4FGL J0030.3-4224","  7.5958","-42.4127","  35.296","1.0689E-09","1.6142E-11","PowerLaw","  2.5207","  2.4999","  0.0631","fsrq","PKS 0027-426","4.950000E-01","LSP"
"4FGL J0030.6-0212","  7.6558"," -2.2014","  43.082","1.7144E-09","1.9734E-11","LogParabola","  2.3924","  2.2715","  0.1014","bcu","PKS B0027-024","1.804000E+00","LSP"
